Time,PosY_Analytique,PosY_Explicite,PosY_Semi_Explicite,PosY_Midpoint,PosY_Verlet
130,-48.5625,7014.21,12.2143,245.856,32.6367
131,-43.3455,6754.21,18.2758,329.946,31.3198
132,-34.8217,5793.8,23.5097,386.245,27.871
133,-23.8364,4158.96,27.3926,407.735,22.635
134,-11.4789,1945.74,29.5363,390.526,16.1356
135,1.02522,-682.368,29.7264,334.404,9.02255
136,12.4361,-3504.05,27.9438,243.035,2.00729
137,21.6219,-6258.5,24.3669,123.794,-4.2087
138,27.6718,-8663.55,19.3532,-12.7879,-11.0038
139,29.9858,-10443.7,13.4042,-154.92,-17.6986
140,28.3344,-11358.6,7.11485,-289.667,-23.6234
141,22.8815,-11230,1.11397,-403.185,-28.186
142,14.1677,-9966.65,-3.9983,-483.06,-30.9299
143,3.05719,-7581.25,-9.71075,-519.623,-31.5809
144,-9.34815,-4200.19,-15.4521,-507.051,-30.0737
145,-21.8183,-62.0024,-20.6483,-444.146,-26.5592
146,-33.1162,4495.2,-24.7796,-334.681,-21.3888
147,-42.1218,9057.61,-27.433,-187.275,-15.0795
148,-47.9419,13171.5,-28.3431,-14.7708,-8.26222
149,-49.9993,16380.6,-27.4188,166.836,-1.61874
150,-48.09,18273.6,-24.7527,340.839,4.18661
151,-42.4033,18529.5,-20.6113,490.458,10.5733
152,-33.5032,16959.1,-15.4088,599.513,16.9027
153,-22.2724,13536.7,-9.6654,655.069,22.5418
154,-9.82449,8419.36,-3.95546,648.896,26.9267
155,2.60614,1949.39,1.15002,578.524,29.6189
156,13.7865,-5361.52,7.1405,447.782,30.3493
157,22.608,-12866.4,13.4169,266.725,29.0447
158,28.1957,-19836.1,19.3517,50.9416,25.8357
159,29.9957,-25520.1,24.3512,-179.725,21.0431
160,27.8292,-29221.6,27.9157,-403.952,15.1462
161,21.9113,-30372,29.6886,-599.995,8.73462
162,12.8288,-28601.3,29.4926,-746.841,2.44963
163,1.48234,-23794.4,27.3473,-827.345,-3.08033
164,-11.0029,-16128.3,23.4674,-830.14,-9.30226
165,-23.3886,-6083.85,18.2407,-751.061,-15.594
166,-34.4465,5572.47,12.1899,-593.921,-21.3263
167,-43.0801,17836.2,5.92012,-370.533,-25.9259
168,-48.4332,29543.6,0.0583439,-99.9214,-28.933
169,-49.9749,39468.5,-4.80927,193.212,-30.0468
170,-47.5523,46439.9,-10.196,481.682,-29.1559
171,-41.4056,49465.6,-15.563,737.406,-26.3494
172,-32.1445,47848.2,-20.3738,933.177,-21.908
173,-20.6874,41285.3,-24.1472,1046.42,-16.2758
174,-8.17021,29938.5,-26.5059,1061.68,-10.0159
175,4.16535,14464.3,-27.214,972.536,-3.75455
176,15.0961,-4002.86,-26.2007,782.681,1.8823
177,23.5382,-23915.4,-23.5673,506.066,8.33093
178,28.6543,-43428.7,-19.5772,166.014,14.9465
179,29.9371,-60551.4,-14.6294,-206.643,21.0673
180,27.2593,-73332.3,-9.2186,-577.268,26.0815
181,20.8866,-80059,-3.88597,-909.697,29.4875
182,11.4508,-79453.5,0.835257,-1168.78,30.9447
183,-0.112299,-70843.1,6.47296,-1324.94,30.3075
184,-12.6559,-54288.3,12.4634,-1357.41,27.6396
185,-24.936,-30650.3,18.2074,-1256.76,23.2076
186,-35.735,-1584.36,23.1308,-1026.41,17.4549
187,-43.9819,30545.6,26.741,-682.896,10.9567
188,-48.8588,62832.9,28.6772,-254.918,4.36289
189,-49.8821,92066.7,28.7456,218.95,-1.66726
190,-46.9504,115018,26.9395,694.617,-8.53068
191,-40.3542,128764,23.4394,1125.61,-15.541
192,-30.7479,131009,18.5954,1466.58,-21.9973
193,-19.0839,120379,12.8918,1678.95,-27.2538
194,-6.51922,96648.4,6.8991,1735.04,-30.7849
195,5.70032,60881.2,1.21646,1621.43,-32.2376
196,16.3629,15450.2,-3.58783,1341,-31.4665
197,24.4111,-36067.9,-9.03333,913.448,-28.5487
198,29.0467,-89130,-14.5755,374.171,-23.7761
199,29.8101,-138586,-19.6601,-228.486,-17.6258
200,26.6256,-179131,-23.7787,-838.427,-10.713
201,19.809,-205817,-26.5195,-1396.02,-3.72888
202,10.036,-214592,-27.6083,-1842.9,2.62813
203,-1.72371,-202786,-26.9362,-2128.82,9.72233
204,-14.3044,-169522,-24.5706,-2217.17,16.8443
205,-26.4579,-115980,-20.7478,-2089.21,23.2818
206,-36.9796,-45486.6,-15.8503,-1746.93,28.3912
207,-44.8255,36603.4,-10.3678,-1213.85,31.6614
208,-49.2179,123241,-4.8485,-533.724,32.7655
209,-49.7211,206220,0.155671,232.777,31.5931
210,-46.2852,276875,6.14427,1014.32,28.2613
211,-39.2508,326909,12.5184,1734.52,23.1034
212,-29.3158,349257,18.6408,2318.27,16.6352
213,-17.4651,338915,23.899,2700.38,9.50342
214,-4.87403,293648,27.7674,2832.56,2.42132
215,7.20842,214491,29.859,2689.09,-3.90291
216,17.5846,105970,29.9647,2270.54,-10.8368
217,25.225,-23999.4,28.0739,1605.01,-17.6871
218,29.3723,-164565,24.3758,746.7,-23.7686
219,29.6151,-302731,19.2401,-228.195,-28.4733
220,25.9292,-424441,13.1803,-1229.02,-31.3307
221,18.6802,-515880,6.80256,-2157.98,-32.055
222,8.58724,-564876,0.744534,-2918.59,-30.5737
223,-3.34929,-562284,-4.38794,-3426.37,-27.0351
224,-15.9454,-503206,-10.0816,-3617.9,-21.793
225,-27.9516,-387901,-15.7671,-3458.22,-15.3716
226,-38.1778,-222276,-20.8759,-2945.74,-8.41307
227,-45.6095,-17861.4,-24.8972,-2114.06,-1.61319
228,-49.5099,208779,-27.4287,-1030.38,4.348
229,-49.4921,437205,-28.2173,209.513,10.8744
230,-45.5579,644754,-27.1842,1490.45,17.3134
231,-38.0974,808583,-24.4327,2687.39,23.021
